disease,fig1_all_numeric_n,fig1_all_numeric_mean,fig1_all_numeric_sd,fig1_all_numeric_median,fig1_all_numeric_min,fig1_all_numeric_max,fig1_all_numeric_q10,fig1_all_numeric_q25,fig1_all_numeric_q75,fig1_all_numeric_q90,fig1_all_numeric_iqr,fig1_all_numeric_nonzero_fraction,fig1_all_numeric_skew,fig1_height_distribution_n,fig1_height_distribution_mean,fig1_height_distribution_sd,fig1_height_distribution_median,fig1_height_distribution_min,fig1_height_distribution_max,fig1_height_distribution_q10,fig1_height_distribution_q25,fig1_height_distribution_q75,fig1_height_distribution_q90,fig1_height_distribution_iqr,fig1_height_distribution_nonzero_fraction,fig1_height_distribution_skew,fig1_area_distribution_n,fig1_area_distribution_mean,fig1_area_distribution_sd,fig1_area_distribution_median,fig1_area_distribution_min,fig1_area_distribution_max,fig1_area_distribution_q10,fig1_area_distribution_q25,fig1_area_distribution_q75,fig1_area_distribution_q90,fig1_area_distribution_iqr,fig1_area_distribution_nonzero_fraction,fig1_area_distribution_skew,fig1_diameter_distribution_n,fig1_diameter_distribution_mean,fig1_diameter_distribution_sd,fig1_diameter_distribution_median,fig1_diameter_distribution_min,fig1_diameter_distribution_max,fig1_diameter_distribution_q10,fig1_diameter_distribution_q25,fig1_diameter_distribution_q75,fig1_diameter_distribution_q90,fig1_diameter_distribution_iqr,fig1_diameter_distribution_nonzero_fraction,fig1_diameter_distribution_skew,fig2_tht_spectra_all_numeric_n,fig2_tht_spectra_all_numeric_mean,fig2_tht_spectra_all_numeric_sd,fig2_tht_spectra_all_numeric_median,fig2_tht_spectra_all_numeric_min,fig2_tht_spectra_all_numeric_max,fig2_tht_spectra_all_numeric_q10,fig2_tht_spectra_all_numeric_q25,fig2_tht_spectra_all_numeric_q75,fig2_tht_spectra_all_numeric_q90,fig2_tht_spectra_all_numeric_iqr,fig2_tht_spectra_all_numeric_nonzero_fraction,fig2_tht_spectra_all_numeric_skew,fig3_proteolysis_all_numeric_n,fig3_proteolysis_all_numeric_mean,fig3_proteolysis_all_numeric_sd,fig3_proteolysis_all_numeric_median,fig3_proteolysis_all_numeric_min,fig3_proteolysis_all_numeric_max,fig3_proteolysis_all_numeric_q10,fig3_proteolysis_all_numeric_q25,fig3_proteolysis_all_numeric_q75,fig3_proteolysis_all_numeric_q90,fig3_proteolysis_all_numeric_iqr,fig3_proteolysis_all_numeric_nonzero_fraction,fig3_proteolysis_all_numeric_skew,fig4_antibody_all_numeric_n,fig4_antibody_all_numeric_mean,fig4_antibody_all_numeric_sd,fig4_antibody_all_numeric_median,fig4_antibody_all_numeric_min,fig4_antibody_all_numeric_max,fig4_antibody_all_numeric_q10,fig4_antibody_all_numeric_q25,fig4_antibody_all_numeric_q75,fig4_antibody_all_numeric_q90,fig4_antibody_all_numeric_iqr,fig4_antibody_all_numeric_nonzero_fraction,fig4_antibody_all_numeric_skew,fig5_functional_all_numeric_n,fig5_functional_all_numeric_mean,fig5_functional_all_numeric_sd,fig5_functional_all_numeric_median,fig5_functional_all_numeric_min,fig5_functional_all_numeric_max,fig5_functional_all_numeric_q10,fig5_functional_all_numeric_q25,fig5_functional_all_numeric_q75,fig5_functional_all_numeric_q90,fig5_functional_all_numeric_iqr,fig5_functional_all_numeric_nonzero_fraction,fig5_functional_all_numeric_skew,fig6_ephys_all_numeric_n,fig6_ephys_all_numeric_mean,fig6_ephys_all_numeric_sd,fig6_ephys_all_numeric_median,fig6_ephys_all_numeric_min,fig6_ephys_all_numeric_max,fig6_ephys_all_numeric_q10,fig6_ephys_all_numeric_q25,fig6_ephys_all_numeric_q75,fig6_ephys_all_numeric_q90,fig6_ephys_all_numeric_iqr,fig6_ephys_all_numeric_nonzero_fraction,fig6_ephys_all_numeric_skew
AD,3138.0,58.959557611643724,93.07654508754541,3.815,-3.4291,332.657,-0.03996685999999999,1.03,91.16325,230.33000000000004,90.13325,0.9866156787762906,1.23962076252115,98.0,5.909357142857142,10.296325870821317,2.1790000000000003,0.0,63.0,1.0,1.4845,7.75,12.299999999999997,6.2655,0.9387755102040817,4.136204936695832,98.0,89.47511224489794,107.32297901347816,30.609,0.0,332.657,0.0,1.0,173.37425,266.2033,172.37425,0.7857142857142857,0.8901901943062958,98.0,11.207142857142857,22.72530362266406,7.0675,0.0,220.0,0.0,3.0855,14.257249999999999,19.008699999999997,11.17175,0.8469387755102041,8.046535680141076,17880.0,0.2539359367359026,0.3491294751640215,0.021505376344086,0.0,1.0,0.0,0.0,0.494318181818182,0.8944973483528822,0.494318181818182,0.569910514541387,1.056387414701825,12.0,26.68116666666667,32.276010471706336,11.793,0.0,91.43,0.9361,1.03525,40.29525,79.18020000000001,39.260000000000005,0.9166666666666666,1.049378503079787,30.0,0.1723167,0.10571197319625071,0.149667,0.0255,0.368,0.0306503,0.11575025,0.22858325000000002,0.33630000000000004,0.11283300000000002,1.0,0.35687860965184576,550.0,1.5855181818181818,3.8521316170550413,1.0,0.132,51.0,0.599,1.0,1.3125,2.031,0.3125,1.0,10.397781685076733,201.0,78.29044972139303,67.22154597842987,33.86951,0.0,200.1277,0.29512,22.2221,153.4063,163.5891,131.18419999999998,0.9900497512437811,0.25256596786615915
DLB,3272.0,73.70547624748167,104.14936336178761,11.362,-8.01295,541.948,-0.6907055999999998,0.867,168.084,236.49,167.217,0.9935819070904646,1.2254521126504938,100.0,6.5273,8.34530540078212,2.0,0.0,27.0,0.6497,1.11325,11.5,22.10000000000001,10.38675,0.92,1.2211202595555486,64.0,148.05325,173.21136171447912,49.564,1.0,541.948,2.0,9.0,274.2955,434.88680000000005,265.2955,1.0,0.9354318329317323,100.0,15.031569999999999,13.627881768642588,12.233,0.0,72.0,0.0,2.0,24.86825,30.590100000000003,22.86825,0.87,1.1137306786314993,17670.0,0.2529993668707955,0.347291431860015,0.0232558139534884,0.0,1.0,0.0,0.0,0.48731833749884274,0.8880773345714406,0.48731833749884274,0.5727221279003961,1.060286865204287,12.0,8.7825,9.306089770584736,4.1805,0.0,30.958,1.1255000000000002,2.8955,14.72325,18.4452,11.82775,0.9166666666666666,1.2216339155262905,30.0,0.15458336666666664,0.10285601561556425,0.1258335,0.0225,0.331,0.028150300000000003,0.09575,0.207083,0.323,0.11133299999999999,1.0,0.5022969239975962,139.0,1.5485755395683454,1.7780954351493063,1.0,0.314,13.0,0.5274,0.785,1.574,2.646,0.789,1.0,4.14954782684052,202.0,50.323769777227724,44.35994646006333,18.724905,0.0,132.1749,0.5129592000000001,13.5082525,96.3067075,108.17931,82.798455,0.9900990099009901,0.278941686059418
PSP,4461.0,45.04129090524546,88.43990868062562,2.214,-7.30809,661.0,-0.433744,0.706,13.788,220.2,13.082,0.9908092355973996,1.9614045744013384,100.0,10.947969999999998,39.38362603578248,2.0295,0.0,278.0,0.0,0.986,3.909,18.400000000000034,2.923,0.8,5.865217170030194,64.0,157.6183125,193.42133610882493,44.572500000000005,0.0,661.0,0.0,2.0,298.754,470.2519000000001,296.754,0.875,0.9607753844271751,100.0,18.64375,55.22713879774467,11.108,0.0,550.0,0.0,2.0,21.66475,29.8767,19.66475,0.87,9.045795290198425,17610.0,0.24783104787991003,0.3451793812827769,0.0198019801980198,0.0,1.0,0.0,0.0,0.46909061400211827,0.8859225184838241,0.46909061400211827,0.565076660988075,1.0943375806484397,12.0,12.283249999999997,15.99530074811747,3.4130000000000003,0.0,47.666,0.465,0.5355000000000001,18.05725,33.3067,17.52175,0.9166666666666666,1.1171922075741023,30.0,0.14785003333333335,0.1104940786837524,0.1063335,0.0175,0.353,0.0205503,0.08425,0.21274975000000002,0.3376,0.12849975000000002,1.0,0.7043973026047426,302.0,1.6123841059602648,2.8635696593875877,1.0,0.153,26.0,0.6991999999999999,1.0,1.32175,2.0,0.32175,1.0,6.3789184049582675,203.0,79.08322680295568,72.62378642446458,25.9445,0.0,256.778,0.17829840000000002,19.42598,159.94655,163.97784,140.52057,0.9901477832512315,0.29933351457588375
